CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_ADDRESS1;EMPLOYER_ADDRESS2;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAIC_CODE;TOTAL WORKERS;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_WAGE_SOURCE;PW_WAGE_SOURCE_YEAR;PW_WAGE_SOURCE_OTHER;WAGE_RATE_OF_PAY;WAGE_UNIT_OF_PAY;H-1B_DEPENDENT;WILLFUL VIOLATOR;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE;;;;
I-200-15196-454624;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/29/2015;07/28/2018;CRUX IT GROUP;6201 BONHOMME ROAD;SUITE 475-S;HOUSTON;TX;77036;UNITED STATES OF AMERICA;N/A;2817860669;125;VAMAN KIDAMBI;TRUMBULL;CT;COMPUTER PROGRAMMING ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;48422.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;48422.00 -;Year;N;N;HOUSTON;HARRIS;TX;77009;;;;
I-200-15196-454832;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/16/2015;07/15/2018;WIPRO LIMITED;2 TOWER CENTER BLVD;SUITE 2200;EAST BRUNSWICK;NJ;8816;UNITED STATES OF AMERICA;N/A;7325091586;;MICHELLE SHEPARD;WOBURN;MA;ARCHITECT LEVEL 3;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;97698.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;97698 -;Year;Y;N;IRVING;DALLAS;TX;75063;;;;
I-200-15196-455228;CERTIFIED;18.09.2015;24.09.2015;H-1B;09/28/2015;09/27/2018;MYLAN INC.;1000 MYLAN BOULEVARD;;CANONSBURG;PA;15317;UNITED STATES OF AMERICA;;7245141800;;COLLEEN CADEN;NEW YORK;NY;GLOBAL SAP FUNCTIONAL LEAD PPPI;15-1121;COMPUTER SYSTEMS ANALYSTS;424210;1;Y;86237.00;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;123780 -;Year;N;N;CANONSBURG;WASHINGTON;PA;15317;;;;
I-200-15196-456822;CERTIFIED;16.07.2015;22.07.2015;H-1B;08.03.2015;08.03.2018;CAREMARK, LLC;ONE CVS DRIVE;#701;WOONSOCKET;RI;2895;UNITED STATES OF AMERICA;;4017704896;;LAURA REIFF;MCLEAN;VA;SENIOR ANALYST, APPLICATION DEVELOPMENT;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;424210;1;Y;62629;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;62629 - 109600;Year;N;N;WARRENSVILLE HEIGHTS;CUYAHOGA;OH;44128;;;;
I-200-15196-457602;CERTIFIED;16.07.2015;22.07.2015;H-1B;10.01.2015;09/30/2018;TATA CONSULTANCY SERVICES LIMITED;9201 CORPORATE BOULEVARD;SUITE 320;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;N/A;3012319083;;PRISCILLA MUHLENKAMP;WASHINGTON;DC;DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;51459;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;63300 -;Year;Y;N;WILSON;WILSON;NC;27893;;;;
I-200-15196-457613;CERTIFIED;17.07.2015;23.07.2015;H-1B;07/17/2015;07/14/2018;TATA CONSULTANCY SERVICES LIMITED;9201 CORPORATE BOULEVARD;SUITE 320;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;;3012319083;;VIC GOEL;RESTON;VA;ANALYST-TESTING;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;67808.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;74500 -;Year;Y;N;JERSEY CITY;HUDSON;NJ;7302;;;;
I-200-15196-457665;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/17/2015;09/16/2017;GLOBALPOINT, INC.;850 CAROLIER LANE;FOURTH FLOOR;NORTH BRUNSWICK;NJ;8902;UNITED STATES OF AMERICA;;7326131124;;LAWRENCE RUDNICK;PHILADELPHIA;PA;COMPUTER PROGRAMMER/BUSINESS ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;61630.00;Year;Level II;Other;2015;ONLINE WAGE LIBRARY;61630 - 61630;Year;Y;N;BEAVERTON;WASHINGTON;OR;97006;;;;
I-200-15196-458377;CERTIFIED;20.07.2015;24.07.2015;H-1B;10.01.2015;09/30/2018;FT PUBLICATIONS INC.;330 HUDSON STREET;SUITE 201;NEW YORK;NY;10013;UNITED STATES OF AMERICA;;9175515379;201;LYNN O'BRIEN;MCLEAN;VA;SOFTWARE DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;511110;1;Y;91562.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;91562 - 122993;Year;N;N;NEW YORK;NEW YORK;NY;10013;;;;
I-200-15196-458844;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/22/2015;07/21/2018;ETOUCH SYSTEMS CORPORATION;6627 DUMBARTON CIRCLE;N/A;FREMONT;CA;94555;UNITED STATES OF AMERICA;ALAMEDA;5107954800;180;PAYAL SINGH;SANTA CLARA;CA;SENIOT TEST ENGINEER;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;94037;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;115000 -;Year;Y;N;MOUNTAIN VIEW;SANTA CLARA;CA;94043;;;;
I-200-15196-459207;CERTIFIED;15.07.2015;21.07.2015;H-1B;12/30/2015;12/29/2018;SLK AMERICA INC.;525 VINE STREET SUITE 2300;N/A;CINCINNATI;OH;45202;UNITED STATES OF AMERICA;N/A;5132830996;;NEIL FLEISCHER;CINCINNATI;OH;ONSITE QA LEAD;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;58136;Year;Level I;Other;2015;OFLC ONLINE DATA CENTER;65430 -;Year;Y;N;CINCINNATI;HAMILTON;OH;45263;;;;
I-200-15196-459451;WITHDRAWN;15.07.2015;15.07.2015;H-1B;07/15/2015;07/15/2018;LIBERTYCOM, LLC;303 WEST CAPITOL;SUITE # 270 & 325;LITTLE ROCK;AR;72201;UNITED STATES OF AMERICA;N/A;5019603302;;SAMUEL ALEMU;SCHAUMBURG;IL;SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;75754.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;87300 -;Year;Y;N;LITTLE ROCK;PULASKI;AR;72201;;;;
I-200-15196-459470;CERTIFIED-WITHDRAWN;15.07.2015;18.09.2015;H-1B;10.01.2015;09/30/2017;BANK OF COMMUNICATIONS CO., LTD., NEW YORK BRANCH;ONE EXCHANGE PLAZA, 55 BROADWAY;31ST & 32ND FLOOR;NEW YORK;NY;10006;UNITED STATES OF AMERICA;N/A;2123768030;208;EDWARD MA;MANHASSET;NY;CREDIT ANALYST;13-2041;CREDIT ANALYSTS;522110;1;Y;59322.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;59322 -;Year;N;N;NEW YORK;NEW YORK;NY;10006;;;;
I-200-15196-459626;CERTIFIED;15.07.2015;21.07.2015;H-1B;08.06.2015;08.05.2018;KANSAS STATE UNIVERSITY;104 INTERNATIONAL STUDENT CENTER;;MANHATTAN;KS;66506;UNITED STATES OF AMERICA;;7855326449;;JACQUELYN MARONEY;AUSTIN;TX;RESEARCH ASSOCIATE;19-1013;SOIL AND PLANT SCIENTISTS;611310;1;N;19;Hour;Level I;OES;2015;RADFORD GLOBAL TECHNOLOGY SURVEY;27.30 -;Hour;N;N;MANHATTAN;RILEY;KS;66506;;;;
I-200-15196-459659;CERTIFIED;15.07.2015;21.07.2015;H-1B;09/30/2015;09/30/2018;AUDIBLE INC;1 WASHINGTON PARK;;NEWARK;NJ;7102;UNITED STATES OF AMERICA;;9738200682;;MICHAEL PISTON;ROCHESTER HILLS;MI;SOFTWARE DEVELOPMENT ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;512220;1;Y;129002.00;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;142643.00 -;Year;N;N;NEWARK;ESSEX;NJ;7102;;;;
I-200-15196-460374;CERTIFIED;07.08.2015;13.08.2015;H-1B;09/21/2015;09/20/2018;PROVIDENCE HEALTH & SERVICES - OREGON;4400 NE HALSEY STREET;;PORTLAND;OR;97213;UNITED STATES OF AMERICA;N/A;5038936092;;WILLIAM RAILTON;BELLINGHAM;WA;RESIDENT - PSYCHOLOGIST;19-3031;CLINICAL, COUNSELING, AND SCHOOL PSYCHOLOGISTS;622110;1;Y;20.53;Hour;Level I;Other;2015;OFLC ONLINE DATA CENTER;23.59 -;Hour;N;N;TIGARD;WASHINGTON;OR;97223;;;;
I-200-15196-460600;CERTIFIED;15.07.2015;21.07.2015;H-1B;10.01.2015;09/30/2018;UNIVERSITY OF PITTSBURGH;3959 FIFTH AVENUE;708 WILLIAM PITT UNION;PITTSBURGH;PA;15260;UNITED STATES OF AMERICA;;4126247120;;REBECCA VAN UITERT;CHICAGO;IL;RESEARCH ASSOCIATE;19-1042;MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS;611310;1;Y;41267;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;51800 -;Year;N;N;PITTSBURGH;ALLEGHENY;PA;15260;;;;
I-200-15196-460983;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/20/2015;07/19/2018;COMPUTECH SYSTEMS, INC.;400C, SOUTHLAKE BLVD.;STE 306;RICHMOND;VA;23236;UNITED STATES OF AMERICA;N/A;8048977917;;SOWMIYA SIKAL;ALPHARETTA;GA;SOFTWARE PROGRAMMER/DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;52541;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;57000 -;Year;Y;N;RICHMOND;CHESTERFIELD;VA;23236;;;;
I-200-15196-461195;CERTIFIED;15.07.2015;21.07.2015;H-1B;08.03.2015;08.02.2018;ASEC, INC.;222 WEST LAS COLINAS BLVD;SUITE 1650;IRVING;TX;75039;UNITED STATES OF AMERICA;;9704236003;125;DAKSHINI SENANAYAKE;HOUSTON;TX;SENIOR ENGINEER;17-2051;CIVIL ENGINEERS;54133;1;Y;77750.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;87500 -;Year;N;N;DALLAS;DALLAS;TX;75202;;;;
I-200-15196-461598;CERTIFIED;20.07.2015;24.07.2015;H-1B;07/20/2015;07/19/2018;DELL MARKETING L.P.;ONE DELL WAY, MS RRI-42;STE 700;ROUND ROCK;TX;78682;UNITED STATES OF AMERICA;;9725776754;125;MEE AE DIETZ;RALEIGH;NC;BUSINESS DEVEOLPMENT CONSULTANT;15-2031;OPERATIONS RESEARCH ANALYSTS;42343;1;Y;101566.00;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;145000.00 -;Year;N;N;REDMOND;KING;WA;98052;;;;
I-200-15196-462909;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/16/2015;09/29/2017;EXPICIENT, INC;26 CHESTNUT STREET;SUITE 1D;ANDOVER;MA;1810;UNITED STATES OF AMERICA;;9786620498;;TRUPTI PATEL;BURLINGTON;MA;SENIOR PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;97448.00;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;104700.00 - 134000.00;Year;Y;N;CHARLOTTE;MECKLENBURG;NC;28217;;;;
I-200-15196-464108;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;09.10.2016;RESOURCE POINT, LLC;3221 W. BIG BEAVER ROAD;SUITE 117;TROY;MI;48084;UNITED STATES OF AMERICA;;2486495600;11;JOHN CLEMENT;TROY;MI;PROGRAMMER ANALYST;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;40.74;Hour;Level I;OES;2015;OFLC ONLINE DATA CENTER;40.74 -;Hour;Y;N;BOTHELL;KING;WA;98011;;;;
I-200-15196-465038;CERTIFIED;15.07.2015;21.07.2015;H-1B;09/17/2015;09/17/2018;JOHN GREG WHITAKER JR AND LINDA BYRD WHITAKER FAMILY DENTISTRY INC;906 ORANGE STREET;N/A;FORT VALLEY;GA;31030;UNITED STATES OF AMERICA;N/A;4788252001;;ASHEESH SHARMA;ATLANTA;GA;ASSOCIATE DENTIST;29-1021;DENTISTS, GENERAL;6212;1;Y;116230.00;Year;Level I;Other;2015;OFLC ONLINE DATA CENTER;125000 -;Year;N;N;FORT VALLEY;PEACH;GA;31030;;;;
I-200-15196-465224;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/26/2015;07/24/2018;INFOSYS LIMITED;6100 TENNYSON PARKWAY;SUITE 200;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;LAURIE SNIDER;DALLAS;TX;TECHNOLOGY LEAD - US;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;89149;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;96158 -;Year;Y;N;SUNNYVALE;SANTA CLARA;CA;94085;;;;
I-200-15196-465380;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/22/2015;07/21/2018;LARSEN & TOUBRO INFOTECH LIMITED;2035 LINCOLN HIGHWAY, EDISON SQUARE WEST;STE 3000-3005;EDISON;NJ;8817;UNITED STATES OF AMERICA;N/A;7322486353;;KASIA MAZUR;TROY;MI;COMPUTER PROGRAMMER;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;32074.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;60000.00 -;Year;Y;N;BARTLESVILLE;WASHINGTON;OK;74003;;;;
I-200-15196-466489;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/22/2015;07/21/2018;SWITCH COMMUNICATIONS, INC.;275 SACRAMENTO STREET;4TH FLOOR;SAN FRANCISCO;CA;94111;UNITED STATES OF AMERICA;;4158492040;;MALCOLM GOESCHL;SAN FRANCISCO;CA;SENIOR MARKETING ANALYST;13-1161;MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS;518210;1;Y;110115.00;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;120000 -;Year;N;N;SAN FRANCISCO;SAN FRANCISCO;CA;94111;;;;
I-200-15196-467434;WITHDRAWN;15.07.2015;15.07.2015;H-1B;10.01.2015;09/30/2018;L&T TECHNOLOGY SERVICES LIMITED;2035 LINCOLN HIGHWAY;EDISON SQUARE WEST, SUITE 3002;EDISON;NJ;8817;UNITED STATES OF AMERICA;;7322486132;;ANIL JETHMALANI;NEW YORK;NY;INDUSTRIAL DESIGNER;27-1021;COMMERCIAL AND INDUSTRIAL DESIGNERS;541330;1;Y;55349;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;66480 -;Year;Y;N;FORT COLLINS;LARIMER;CO;80525;;;;
I-200-15196-467858;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;SAPTALIS PHARMACEUTICALS, LLC;79 STONY HOLLOW ROAD;MSA3E;CENTERPORT;NY;11721;UNITED STATES OF AMERICA;N/A;6312451958;;MICHELLE SHEPARD;WOBURN;MA;ANALYTICAL SCIENTIST II;19-2031;CHEMISTS;325412;1;Y;59509.00;Year;Level II;Other;2015;OFLC ONLINE DATA CENTER;60000 -;Year;N;N;HAUPPAUGE;SUFFOLK;NY;11788;;;;
I-200-15196-467925;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;IGATE TECHNOLOGIES INC.;99 WOOD AVE S STE 800;#701;ISELIN;NJ;8830;UNITED STATES OF AMERICA;N/A;5108963000;;JOHN BOUDIA;SOUTHFIELD;MI;TECHNICAL SPECIALIST;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;3;Y;55848.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;60000 -;Year;Y;N;GREENVILLE;GREENVILLE;SC;29607;;;;
I-200-15196-468509;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/16/2015;07/16/2018;NGUSOFT INC;4701 PATRICK HENRY DR BLDG 16 SUITE 11;MSA3E;SANTA CLARA;CA;95054;UNITED STATES OF AMERICA;;4084804429;;JAMES ALEXANDER;WASHINGTON;DC;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;52832;Year;Level I;Other;2015;OFLC ONLINE DATA CENTER;90000 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304;;;;
I-200-15196-469678;CERTIFIED;22.07.2015;28.07.2015;H-1B;07/27/2015;07/26/2018;TERADATA OPERATIONS, INC.;10000 INNOVATION DRIVE;N/A;MIAMISBURG;OH;45342;UNITED STATES OF AMERICA;;9372429767;;JAMES ALEXANDER;WASHINGTON;DC;COMPUTER SYSTEMS ANALYST II;15-1121;COMPUTER SYSTEMS ANALYSTS;541513;1;Y;66602.00;Year;Level II;OES;2015;OFLC: ONLINE DATA CENTER;66602 -;Year;N;N;STRONGSVILLE;CUYAHOGA;OH;44136;;;;
I-200-15196-470736;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/15/2018;RELIABLE SOFTWARE RESOURCES, INC.;22260 HAGGERTY ROAD;SUITE 285;NORTHVILLE;MI;48167;UNITED STATES OF AMERICA;;2489126819;;;;;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;54151;1;Y;47861;Year;Level I;Other;2015;OFLC ONLINE DATA CENTER;60000 -;Year;Y;N;MADISON;DANE;WI;53707;;;;
I-200-15196-471156;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/22/2015;09.04.2017;L&T TECHNOLOGY SERVICES LIMITED;2035 LINCOLN HIGHWAY;EDISON SQUARE WEST, SUITE 3002;EDISON;NJ;8817;UNITED STATES OF AMERICA;;7322486132;;ANIL JETHMALANI;NEW YORK;NY;SOFTWARE ENGINEER & TESTER;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541330;1;Y;66560.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;66560 -;Year;Y;N;FORT COLLINS;LARIMER;CO;80525;;;;
I-200-15196-471224;CERTIFIED;20.07.2015;24.07.2015;H-1B;08.01.2015;07/31/2018;PROVIDENCE HEALTH & SERVICES;1801 LIND AVE SW;;RENTON;WA;98057;UNITED STATES OF AMERICA;N/A;4256873703;;WILLIAM RAILTON;BELLINGHAM;WA;SENIOR QUALITY PERFORMANCE ENGINEER;15-1035;SOFTWARE DEVELOPERS, APPLICATIONS, R&D;622110;1;Y;105061.00;Year;Level IV;Other;2015;OFLC ONLINE DATA CENTER;109033 -;Year;N;N;RENTON;KING;WA;98057;;;;
I-200-15196-471720;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/26/2015;07/24/2018;INFOSYS LIMITED;6100 TENNYSON PARKWAY;SUITE 200;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;LAURIE SNIDER;DALLAS;TX;SENIOR PROJECT MANAGER - ENGINEERING - US;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;71011;Year;Level IV;OES;2015;OFLC ONLINE DATA CENTER;118033 -;Year;Y;N;WICHITA;SEDGWICK;KS;67210;;;;
I-200-15196-472685;CERTIFIED;15.07.2015;21.07.2015;H-1B;12/24/2015;12/24/2018;ROLTA INTERNATIONAL, INC.;5865 NORTH POINT PARKWAY;N/A;ALPHARETTA;GA;30022;UNITED STATES OF AMERICA;N/A;6789425000;;MANJUNATH GOKARE;ALPHARETTA;GA;SMARTPLANT CONSULTANT;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;55848.00;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;57817 -;Year;N;N;GREENVILLE;GREENVILLE;SC;29607;;;;
I-200-15196-472763;CERTIFIED;17.07.2015;23.07.2015;H-1B;08.10.2015;08.09.2018;MAGNOLIA INNOVATION LLC;2 HUDSON PLACE FL6;;HOBOKEN;NJ;7030;UNITED STATES OF AMERICA;;4129794916;;MARC TAYLOR;NEW YORK;NY;MANAGER, MARKET INSIGHTS: HEALTHCARE PRACTICE;13-1161;MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS;54191;1;Y;45906;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;80000 -;Year;N;N;HOBOKEN;HUDSON;NJ;7030;;;;
I-200-15196-473008;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/23/2015;09/14/2016;C-VISION INC;3150 LIVERNOIS ROAD;SUITE 140;TROY;MI;48083;UNITED STATES OF AMERICA;N/A;2486192062;;A. James Výzquez-Azpiri;San Francisco;CA;BUSINESS ANALYST;13-1111;MANAGEMENT ANALYSTS;541519;1;Y;52146;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;66000.00 -;Year;Y;N;DES MOINES;POLK;IA;50391;;;;
I-200-15196-473061;CERTIFIED;20.07.2015;24.07.2015;H-1B;07/21/2015;07/15/2018;HCL AMERICA, INC.;330 POTRERO AVENUE;;SUNNYVALE;CA;94085;UNITED STATES OF AMERICA;;4087330480;;JANET HENNER;NEW YORK;NY;TEST ANALYST - II;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1;Y;77064.00;Year;Level II;Other;2015;OFLC ONLINE DATA CENTER;77064 - 97000;Year;Y;N;SAN FRANCISCO;SAN FRANCISCO;CA;94107;;;;
I-200-15196-473818;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/31/2015;07/30/2018;TECH MAHINDRA (AMERICAS),INC.;4965 PRESTON PARK BOULEVARD;SUITE # 500;PLANO;TX;75093;UNITED STATES OF AMERICA;;9729912900;;JACQUELYN MARONEY;AUSTIN;TX;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;69826;Year;Level II;OES;2015;OFLC ONLINE DATA CENTER;69826 -;Year;Y;N;CHARLOTTE;MECKLENBURG;NC;28277;;;;
I-200-15196-474173;CERTIFIED;20.07.2015;24.07.2015;H-1B;09/20/2015;09/20/2018;RHODIUM GROUP, LLC;5 COLUMBUS CIRCLE;SUITE 1801;NEW YORK;NY;10019;UNITED STATES OF AMERICA;;2125321157;;DANIEL WILLIAMSON;WASHINGTON;DC;SENIOR MODELER;19-3011;ECONOMISTS;541720;1;Y;107474;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;140000 -;Year;N;N;OAKLAND;ALAMEDA;CA;94607;;;;
I-200-15196-474205;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/27/2015;07/26/2018;CREDIT SUISSE SECURITIES (USA) LLC;11 MADISON AVENUE;MSA3E;NEW YORK;NY;10010-3629;UNITED STATES OF AMERICA;;2123252000;;JANET HENNER;NEW YORK;NY;VICE PRESIDENT;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;523110;1;Y;111114.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;143500 -;Year;N;N;NEW YORK;NEW YORK;NY;10010;;;;
I-200-15196-474549;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/15/2018;EVEREST CONSULTING GROUP, INC.,;3840 PARK AVENUE;SUITE 203;EDISON;NJ;8820;UNITED STATES OF AMERICA;N/A;7325482700;;LAURIE SNIDER;DALLAS;TX;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;85634.00;Year;Level II;Other;2015;OFLC ONLINE DATA CENTER;86000 -;Year;Y;N;SAN FRANCISCO;SAN FRANCISCO;CA;94104;;;;
I-200-15196-474552;CERTIFIED;15.07.2015;21.07.2015;H-1B;08.03.2015;08.03.2018;VALIDATION TRANSCRIPTION SERVICES INC;12 ROSZEL RD.;STE B203;PRINCETON;NJ;8540;UNITED STATES OF AMERICA;;2016552831;;JAMES GOTCHER;CALABASAS HILLS;CA;BUSINESS SYSTEMS/ VALIDATION ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;65374;Year;Level II;Other;2015;OFLC ONLINE DATA CENTER;75000 -;Year;Y;N;RENSSELAER;RENSSELAER;NY;12144;;;;
I-200-15196-474944;CERTIFIED;15.07.2015;21.07.2015;H-1B;08.01.2015;07/31/2018;SIOUX FALLS SCHOOL DISTRICT 49-5;201 E. 38TH ST.;;SIOUX FALLS;SD;57105;UNITED STATES OF AMERICA;;6053677944;;TIMOTHY GEBHART;SIOUX FALLS;SD;SPANISH LANGUAGE IMMERSION CLASSROOM TEACHER;25-2021;ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL;6111;1;Y;33020.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;34306.00 -;Year;N;N;SIOUX FALLS;MINNEHAHA;SD;57110;;;;
I-200-15196-475308;CERTIFIED;20.07.2015;24.07.2015;H-1B;10.01.2015;09/30/2018;PACTERA TECHNOLOGIES NA, INC.;14980 NE 31ST WAY;STE 120;REDMOND;WA;98052;UNITED STATES OF AMERICA;;4256580917;;ANCA DAIAN;BELLEVUE;WA;SYSTEM ENGINEER;15-1142;NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS;54151;1;Y;75525.00;Year;Level II;Other;2015;OFLC ONLINE DATA CENTER;86100.00 -;Year;Y;N;REDMOND;KING;WA;98052;;;;
I-200-15196-475587;CERTIFIED;15.07.2015;21.07.2015;H-1B;07/15/2015;07/14/2018;PARAM CONSULTING SERVICES, INC;200 MIDDLESEX ESSEX TPK;SUITE 110;ISELIN;NJ;8830;UNITED STATES OF AMERICA;N/A;7324040466;105;;;;PROGRAMMER ANALYST (QA);15-1131;COMPUTER PROGRAMMERS;541511;1;Y;51730.00;Year;Level I;Other;2015;OFLC ONLINE DATA CENTER;51730.00 -;Year;Y;N;BASKING RIDGE;SOMERSET;NJ;7920;;;;
I-200-15196-475593;CERTIFIED;15.07.2015;21.07.2015;H-1B;09.01.2015;08/31/2018;HOWARD HUGHES MEDICAL INSTITUTE;4000 JONES BRIDGE RD;;CHEVY CHASE;MD;20815;UNITED STATES OF AMERICA;;3012158620;;;;;RESEARCH ASSOCIATE;19-1099;LIFE SCIENTISTS, ALL OTHER;541710;1;Y;46051;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;47000 - 55000;Year;N;N;KANSAS CITY;JACKSON;MO;64110;;;;
I-200-15196-475782;CERTIFIED;16.07.2015;22.07.2015;H-1B;07/27/2015;07/26/2018;DATA, INC.;72 SUMMIT AVENUE;N/A;MONTVALE;NJ;7645;UNITED STATES OF AMERICA;N/A;2018029800;;NEAL MADAN;NEW YORK;NY;APPLICATION DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1;Y;111114.00;Year;Level III;OES;2015;OFLC ONLINE DATA CENTER;112000.00 - 160000.00;Year;Y;N;MONTVALE;BERGEN;NJ;7645;;;;
